التاريخ,الزمن,المحافظة,المدينة,نوع المدينة,الطريق,مستوى الزحام (%),وقت التأخير (دقائق لـ10 كم),السرعة المتوسطة (كم/س),ساعة ذروة,حالة الطريق
2023-12-10,17:14,Giza,Haram,حضرية,El Mansoureya Road,24,32.1,26.5,نعم,تحت الصيانة
2025-09-02,14:25,Cairo,Nasr City,حضرية,Al Azhar St.,79,17.6,20.0,لا,جاف
2025-02-15,08:29,Giza,Dokki,حضرية,Pyramids Road,32,28.4,25.0,نعم,تحت الصيانة
2022-03-23,09:07,Qalyubia,Toukh,ريفية,Qalyub Main St.,17,13.5,42.9,نعم,تحت الصيانة
2024-06-14,04:58,Alexandria,San Stefano,حضرية,Stanley Bridge,72,19.2,20.0,لا,جاف
2022-03-18,04:46,Cairo,Heliopolis,حضرية,15th of May Bridge,61,18.1,20.6,لا,جاف
2025-04-24,18:33,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,57,39.5,23.4,نعم,مبلل
2023-01-12,12:37,Sharqia,Kafr Saqr,ريفية,Ismailia Canal Road,5,14.2,40.8,نعم,جاف
2022-06-01,19:22,Cairo,Shubra,حضرية,Al Azhar St.,31,38.5,26.7,نعم,جاف
2023-09-05,06:53,Cairo,Shubra,حضرية,Ramses St.,30,15.5,15.8,لا,تحت الصيانة
2023-07-24,20:50,Cairo,Heliopolis,حضرية,6th October Bridge,30,18.2,20.3,لا,جاف
2023-07-21,14:42,Giza,Sheikh Zayed City,حضرية,Alexandria Desert Road,64,19.3,19.6,لا,جاف
2024-04-25,18:51,Cairo,Zeitoun,حضرية,Al Azhar St.,31,38.3,16.9,نعم,جاف
2022-07-07,11:01,Cairo,Gesr El Suez,صناعية,Salah Salem St.,29,16.6,31.3,لا,جاف
2023-12-12,22:35,Cairo,Downtown,حضرية,Corniche El Nil,67,19.1,16.4,لا,جاف
2025-07-13,00:40,Giza,Imbaba,حضرية,Pyramids Road,35,15.9,17.6,لا,جاف
2025-04-24,17:47,Cairo,Zeitoun,حضرية,15th of May Bridge,36,32.8,17.6,نعم,مبلل
2022-09-15,18:40,Giza,Haram,حضرية,Giza Square,39,30.9,25.6,نعم,تحت الصيانة
2025-02-11,12:32,Giza,Haram,حضرية,Faisal Road,78,18.9,16.9,نعم,جاف
2023-12-01,22:55,Giza,Agouza,حضرية,26th of July Corridor,63,18.4,28.8,لا,جاف
2022-07-19,07:12,Alexandria,Montazah,حضرية,El-Horreya Ave,51,24.0,18.3,نعم,جاف
2022-11-11,16:45,Cairo,Nasr City,حضرية,15th of May Bridge,60,38.6,19.9,نعم,جاف
2022-08-03,18:11,Giza,Dokki,حضرية,26th of July Corridor,69,35.8,19.5,نعم,جاف
2023-02-21,10:56,Giza,6th October City,حضرية,El-Lebbini St.,37,17.1,17.0,لا,مبلل
2022-10-13,09:53,Cairo,Shubra,حضرية,Corniche El Nil,68,23.9,27.4,نعم,جاف
2023-09-28,08:35,Cairo,Heliopolis,حضرية,Ramses St.,52,26.5,21.5,نعم,جاف
2022-07-01,09:42,Giza,Haram,حضرية,Pyramids Road,60,25.0,27.6,نعم,جاف
2025-06-20,15:16,Alexandria,Miami,حضرية,Sidi Gaber Road,68,37.0,20.2,نعم,تحت الصيانة
2023-11-03,12:43,Giza,Haram,حضرية,26th of July Corridor,67,17.3,15.6,نعم,جاف
2024-03-12,09:43,Qalyubia,Qalyub,صناعية,Cairo-Ismailia Road,52,28.799999999999997,21.2,نعم,مبلل
2024-07-30,17:48,Giza,Sheikh Zayed City,حضرية,El Bahr El Aazam St.,75,28.6,18.2,نعم,جاف
2024-04-14,18:48,Minya,Beni Mazar,ريفية,Minya Eastern Road,36,15.1,25.4,نعم,جاف
2025-06-05,06:11,Cairo,Shubra,حضرية,Ramses St.,28,16.4,17.7,لا,تحت الصيانة
2024-02-22,09:56,Giza,Faisal,حضرية,Giza Square,15,25.8,20.2,نعم,جاف
2024-09-19,04:28,Cairo,Zeitoun,حضرية,Autostrad Road,24,18.6,18.5,لا,جاف
2024-11-16,19:32,Giza,6th October City,حضرية,Alexandria Desert Road,17,37.3,26.0,نعم,جاف
2023-10-02,02:54,Giza,6th October City,حضرية,El Bahr El Aazam St.,38,18.8,17.6,لا,جاف
2023-03-15,12:18,Alexandria,Stanley,حضرية,Stanley Bridge,46,18.1,17.5,نعم,جاف
2025-09-14,15:12,Alexandria,Roushdy,حضرية,El-Montazah Bridge,65,36.6,29.5,نعم,جاف
2023-11-22,16:11,Alexandria,Montazah,حضرية,Desert Road,78,36.9,28.4,نعم,جاف
2024-12-22,13:59,Giza,Imbaba,حضرية,Giza Square,76,17.4,15.8,لا,تحت الصيانة
2023-05-04,12:20,Giza,Dokki,حضرية,Saqqara Road,23,17.1,21.9,نعم,جاف
2022-07-24,07:46,Alexandria,San Stefano,حضرية,Miami Beach Road,37,25.9,16.0,نعم,جاف
2024-06-30,19:30,Giza,Dokki,حضرية,El Mansoureya Road,74,36.0,22.9,نعم,مبلل
2024-01-31,17:19,Cairo,Maadi,حضرية,Corniche El Nil,72,30.2,27.8,نعم,جاف
2025-03-06,17:17,Cairo,Shubra,حضرية,Al Azhar St.,60,35.64,16.1,نعم,جاف
2023-07-16,12:22,Giza,Sheikh Zayed City,حضرية,Pyramids Road,73,18.9,18.5,نعم,جاف
2024-04-26,19:04,Alexandria,Miami,حضرية,El-Montazah Bridge,70,36.8,21.8,نعم,مبلل
2023-06-23,23:46,Giza,Haram,حضرية,Ring Road (Giza Section),74,19.9,26.4,لا,مبلل
2022-12-22,17:32,Cairo,Nasr City,حضرية,Al Fangari Bridge,24,34.6,21.4,نعم,جاف
2025-08-08,14:01,Cairo,Heliopolis,حضرية,Al Mehwar Al Markazy,67,16.7,28.6,لا,جاف
2023-01-13,12:07,Alexandria,Roushdy,حضرية,Gamal Abdel Nasser St.,69,17.5,23.8,نعم,جاف
2023-04-28,18:50,Monufia,Shebin El Kom,حضرية,Shebin El Kom-Tanta Road,66,39.4,15.6,نعم,جاف
2022-04-08,07:29,Cairo,Shubra,حضرية,Nasr Road,66,35.879999999999995,27.1,نعم,تحت الصيانة
2023-05-06,02:06,Giza,6th October City,حضرية,El-Lebbini St.,73,18.9,27.2,لا,جاف
2025-07-06,08:43,Giza,Faisal,حضرية,Giza Square,73,24.7,22.5,نعم,تحت الصيانة
2023-12-28,18:12,Cairo,Nasr City,حضرية,Nasr Road,66,38.3,28.4,نعم,مبلل
2023-02-12,12:53,Cairo,Gesr El Suez,صناعية,Suez Road,56,15.0,31.2,نعم,جاف
2023-01-06,12:55,Giza,Dokki,حضرية,El-Lebbini St.,67,16.9,28.6,نعم,تحت الصيانة
2023-08-01,17:50,Alexandria,Roushdy,حضرية,Abu Qir Road,31,29.1,28.6,نعم,جاف
2024-12-20,12:54,Minya,Beni Mazar,ريفية,Upper Egypt Highway,31,11.0,39.0,نعم,جاف
2024-10-15,10:10,Cairo,Nasr City,حضرية,Nasr Road,73,18.2,29.7,لا,جاف
2023-03-08,02:43,Cairo,Shubra,حضرية,6th October Bridge,56,16.0,17.7,لا,جاف
2024-03-11,07:32,Cairo,Zeitoun,حضرية,6th October Bridge,56,27.479999999999997,25.0,نعم,جاف
2023-04-07,19:11,Alexandria,Miami,حضرية,El-Montazah Bridge,60,39.0,15.8,نعم,جاف
2022-11-18,21:56,Alexandria,Glim,حضرية,Gamal Abdel Nasser St.,68,17.0,18.9,لا,مبلل
2022-04-29,12:17,Beheira,Rashid,ريفية,Nubaria Canal Road,31,15.96,28.4,نعم,مبلل
2025-04-21,06:19,Assiut,Abnoub,ريفية,Dayrout Main St.,23,8.9,39.6,لا,تحت الصيانة
2024-06-05,06:59,Cairo,Zeitoun,حضرية,Ramses St.,23,15.7,24.2,لا,جاف
2023-04-16,12:13,Giza,Haram,حضرية,El-Lebbini St.,62,23.76,27.0,نعم,جاف
2023-10-19,07:08,Giza,6th October City,حضرية,Alexandria Desert Road,61,24.8,26.1,نعم,جاف
2025-01-08,19:44,Giza,Haram,حضرية,Giza Square,67,33.1,15.0,نعم,جاف
2025-06-22,02:15,Giza,Dokki,حضرية,26th of July Corridor,33,17.7,29.5,لا,جاف
2023-05-12,12:03,Cairo,Zamalek,حضرية,Al Fangari Bridge,63,19.8,21.6,نعم,جاف
2024-05-21,06:08,Alexandria,Sidi Gaber,حضرية,El-Montazah Bridge,16,15.8,26.2,لا,جاف
2023-01-27,12:30,Alexandria,Roushdy,حضرية,Sidi Gaber Road,56,17.8,28.1,نعم,جاف
2023-02-23,16:59,Giza,Haram,حضرية,Ring Road (Giza Section),22,30.8,16.1,نعم,تحت الصيانة
2024-02-11,00:27,Giza,Faisal,حضرية,26th of July Corridor,39,16.7,23.5,لا,جاف
2022-09-20,18:04,Cairo,Shubra,حضرية,Al Fangari Bridge,17,33.4,21.3,نعم,جاف
2025-03-10,12:56,Alexandria,Miami,حضرية,Kafr Abdou St.,62,23.04,18.7,نعم,جاف
2022-02-17,18:23,Alexandria,Sidi Gaber,حضرية,Gamal Abdel Nasser St.,75,33.1,28.5,نعم,تحت الصيانة
2024-08-14,18:02,Cairo,Zeitoun,حضرية,6th October Bridge,71,32.3,25.6,نعم,جاف
2025-03-07,18:27,Cairo,Heliopolis,حضرية,Salah Salem St.,80,40.559999999999995,26.6,نعم,جاف
2024-07-01,01:34,Alexandria,Roushdy,حضرية,Miami Beach Road,58,16.5,22.1,لا,مبلل
2023-07-08,18:59,Giza,Imbaba,حضرية,Pyramids Road,76,35.0,28.3,نعم,مبلل
2023-08-01,23:32,Cairo,Zamalek,حضرية,Autostrad Road,33,19.7,22.3,لا,جاف
2023-11-28,19:12,Alexandria,Montazah,حضرية,Sidi Gaber Road,65,35.0,15.1,نعم,جاف
2022-09-01,17:53,Cairo,Zamalek,حضرية,Salah Salem St.,46,28.9,16.1,نعم,جاف
2023-02-26,19:04,Cairo,Zamalek,حضرية,Suez Road,73,28.7,22.8,نعم,جاف
2023-08-09,05:16,Alexandria,Stanley,حضرية,Stanley Bridge,26,18.3,27.6,لا,مبلل
2024-11-18,14:32,Giza,Imbaba,حضرية,Faisal Road,30,18.2,22.3,لا,جاف
2025-01-07,11:51,Cairo,Zamalek,حضرية,Salah Salem St.,43,17.4,19.1,لا,جاف
2023-06-10,04:49,Cairo,Maadi,حضرية,Al Azhar St.,60,19.5,15.4,لا,جاف
2024-11-10,17:22,Cairo,Gesr El Suez,صناعية,Ramses St.,33,28.2,30.2,نعم,مبلل
2022-03-02,14:18,Qalyubia,Khanka,ريفية,Obour Access Road,26,14.1,25.3,لا,جاف
2024-06-05,19:21,Cairo,Zamalek,حضرية,15th of May Bridge,23,39.6,21.9,نعم,مبلل
2022-09-26,18:31,Qalyubia,Qalyub,صناعية,Banha Bypass,32,28.8,21.9,نعم,مبلل
2024-05-30,15:39,Giza,Sheikh Zayed City,حضرية,El-Lebbini St.,48,34.2,21.5,نعم,جاف
2024-09-04,15:55,Giza,Dokki,حضرية,Saqqara Road,26,33.5,29.4,نعم,مبلل
2023-12-15,13:45,Cairo,Shubra,حضرية,15th of May Bridge,66,15.7,23.3,لا,جاف
2023-10-27,16:08,Cairo,Nasr City,حضرية,Al Fangari Bridge,68,33.4,28.3,نعم,جاف
2022-04-27,12:40,Alexandria,San Stefano,حضرية,Sidi Gaber Road,61,23.639999999999997,26.8,نعم,جاف
2024-12-23,04:24,Cairo,Shubra,حضرية,Autostrad Road,33,19.7,25.4,لا,جاف
2023-07-19,19:38,Cairo,Zamalek,حضرية,Al Azhar St.,40,34.7,29.7,نعم,جاف
2023-10-11,08:10,Cairo,Downtown,حضرية,Ramses St.,36,24.3,26.4,نعم,جاف
2023-06-09,03:21,Cairo,Shubra,حضرية,Al Mehwar Al Markazy,60,17.1,15.9,لا,مبلل
2022-06-27,03:24,Cairo,Downtown,حضرية,Nasr Road,15,18.5,21.3,لا,جاف
2022-12-30,12:38,Giza,Faisal,حضرية,El Bahr El Aazam St.,64,17.8,16.4,نعم,جاف
2022-10-08,06:16,Qalyubia,Toukh,ريفية,Qalyub Main St.,27,10.7,27.9,لا,جاف
2023-09-19,16:42,Alexandria,Smouha,حضرية,Gamal Abdel Nasser St.,15,28.6,17.1,نعم,مبلل
2022-12-25,16:31,Giza,Imbaba,حضرية,Alexandria Desert Road,51,28.9,16.8,نعم,جاف
2023-04-23,08:50,Cairo,Downtown,حضرية,6th October Bridge,74,35.879999999999995,24.4,نعم,مبلل
2025-05-22,06:38,Alexandria,Stanley,حضرية,Kafr Abdou St.,16,17.6,22.2,لا,جاف
2024-10-12,22:20,Giza,Agouza,حضرية,Giza Square,28,16.5,25.3,لا,جاف
2023-11-29,23:48,Alexandria,Roushdy,حضرية,Desert Road,70,16.8,17.4,لا,جاف
2025-02-12,03:59,Cairo,Zeitoun,حضرية,Al Fangari Bridge,23,15.3,21.2,لا,جاف
2025-01-06,07:52,Sharqia,Minya Al Qamh,ريفية,Faqus Main St.,28,12.8,44.7,نعم,جاف
2022-05-31,19:16,Monufia,Bagour,ريفية,Shebin El Kom-Tanta Road,13,21.5,42.6,نعم,مبلل
2022-10-15,18:17,Beheira,Kafr El Dawar,صناعية,Damanhour-Rashid Road,22,27.8,26.3,نعم,مبلل
2023-10-06,18:44,Cairo,Maadi,حضرية,Nasr Road,59,30.5,29.5,نعم,جاف
2025-01-17,19:59,Giza,Agouza,حضرية,Ring Road (Giza Section),74,31.3,21.2,نعم,جاف
2024-02-07,09:12,Giza,Faisal,حضرية,Ring Road (Giza Section),77,23.5,29.2,نعم,جاف
2022-12-04,19:53,Giza,Agouza,حضرية,El Bahr El Aazam St.,57,35.0,19.0,نعم,جاف
2024-03-24,07:46,Sohag,Girga,ريفية,Tahta Bridge,40,20.279999999999998,32.2,نعم,جاف
2023-07-19,10:27,Cairo,Zeitoun,حضرية,15th of May Bridge,58,15.3,21.4,لا,جاف
2022-09-30,13:01,Cairo,Heliopolis,حضرية,Ring Road,63,15.1,26.2,لا,جاف
2022-05-08,19:48,Cairo,Zeitoun,حضرية,Al Azhar St.,71,37.7,23.0,نعم,جاف
2024-12-03,19:29,Qalyubia,Shibin El Qanater,ريفية,Agricultural Road,25,21.3,35.7,نعم,جاف
2024-06-29,16:08,Giza,Sheikh Zayed City,حضرية,Saqqara Road,74,38.6,21.9,نعم,جاف
2022-06-24,05:02,Giza,Agouza,حضرية,Saqqara Road,73,15.6,17.8,لا,مبلل
2024-10-20,21:02,Giza,6th October City,حضرية,El Bahr El Aazam St.,22,16.3,18.2,لا,جاف
2023-08-01,19:44,Qalyubia,Qalyub,صناعية,Qalyub Main St.,50,26.3,31.7,نعم,مبلل
2023-03-08,02:00,Giza,6th October City,حضرية,El Mansoureya Road,20,17.0,21.4,لا,جاف
2023-08-24,08:33,Cairo,Shubra,حضرية,6th October Bridge,71,28.0,27.1,نعم,جاف
2024-08-16,17:33,Alexandria,Miami,حضرية,Desert Road,59,29.5,15.3,نعم,جاف
2022-11-06,12:43,Giza,Dokki,حضرية,El Mansoureya Road,32,16.7,22.8,نعم,جاف
2022-12-25,23:17,Alexandria,Glim,حضرية,Corniche Road,48,15.3,25.6,لا,جاف
2022-10-09,01:47,Cairo,Gesr El Suez,صناعية,Al Mehwar Al Markazy,13,15.9,24.2,لا,تحت الصيانة
2024-10-25,19:58,Giza,Agouza,حضرية,Saqqara Road,66,37.7,22.9,نعم,جاف
2025-06-30,08:23,Cairo,Heliopolis,حضرية,Suez Road,80,28.6,25.4,نعم,جاف
2022-03-31,09:17,Giza,Haram,حضرية,Giza Square,52,27.3,16.0,نعم,مبلل
2024-05-01,17:50,Giza,Sheikh Zayed City,حضرية,Saqqara Road,18,28.4,26.9,نعم,تحت الصيانة
2022-07-22,12:13,Giza,Faisal,حضرية,Giza Square,65,18.2,21.4,نعم,جاف
2022-07-28,15:43,Cairo,Gesr El Suez,صناعية,Al Azhar St.,19,24.9,22.8,نعم,جاف
2025-01-17,00:48,Alexandria,Miami,حضرية,Stanley Bridge,68,15.6,25.1,لا,جاف
2022-01-17,18:13,Cairo,Gesr El Suez,صناعية,15th of May Bridge,21,23.0,20.5,نعم,جاف
2022-07-13,05:08,Giza,Sheikh Zayed City,حضرية,Faisal Road,43,18.6,16.6,لا,جاف
2023-09-26,16:53,Giza,Faisal,حضرية,El-Lebbini St.,27,28.4,18.0,نعم,مبلل
2023-01-26,14:34,Giza,Faisal,حضرية,El-Lebbini St.,51,17.3,26.3,لا,جاف
2022-11-16,16:37,Cairo,Gesr El Suez,صناعية,Salah Salem St.,59,23.9,28.2,نعم,مبلل
2023-12-11,17:55,Alexandria,Roushdy,حضرية,Desert Road,48,31.4,29.0,نعم,جاف
2024-04-21,18:50,Giza,Imbaba,حضرية,26th of July Corridor,25,39.2,25.3,نعم,جاف
2023-09-02,18:30,Cairo,Heliopolis,حضرية,Salah Salem St.,35,34.9,16.8,نعم,جاف
2024-05-11,00:06,Giza,Haram,حضرية,Faisal Road,25,16.7,29.7,لا,جاف
2024-06-17,19:59,Cairo,Zeitoun,حضرية,Corniche El Nil,46,30.5,16.4,نعم,جاف
2024-02-10,07:19,Alexandria,Montazah,حضرية,Miami Beach Road,48,23.6,19.4,نعم,جاف
2024-02-18,17:27,Giza,Imbaba,حضرية,Saqqara Road,22,33.4,29.9,نعم,جاف
2022-07-04,19:20,Alexandria,Sidi Gaber,حضرية,Sidi Gaber Road,57,30.6,18.1,نعم,جاف
2022-02-02,09:45,Cairo,Gesr El Suez,صناعية,Nasr Road,18,21.7,29.0,نعم,جاف
2022-04-02,12:54,Alexandria,Sidi Gaber,حضرية,Stanley Bridge,78,20.279999999999998,17.2,نعم,مبلل
2022-10-12,11:27,Giza,Sheikh Zayed City,حضرية,Faisal Road,66,18.5,27.8,لا,جاف
2025-06-08,01:51,Cairo,Gesr El Suez,صناعية,Ramses St.,17,16.1,25.4,لا,جاف
2023-06-13,15:42,Cairo,Maadi,حضرية,Al Fangari Bridge,47,33.0,28.6,نعم,جاف
2023-03-08,16:29,Cairo,Maadi,حضرية,Al Mehwar Al Markazy,34,30.7,25.8,نعم,جاف
2023-03-23,21:16,Giza,Faisal,حضرية,Alexandria Desert Road,72,18.72,27.6,لا,تحت الصيانة
2024-07-06,18:41,Giza,Imbaba,حضرية,Saqqara Road,41,29.3,28.9,نعم,تحت الصيانة
2024-04-21,15:38,Giza,6th October City,حضرية,26th of July Corridor,43,38.9,24.4,نعم,مبلل
2025-08-14,23:19,Giza,Faisal,حضرية,Giza Square,53,15.6,15.1,لا,جاف
2024-03-28,17:32,Cairo,Nasr City,حضرية,Autostrad Road,69,44.76,17.0,نعم,جاف
2024-11-09,20:41,Giza,Agouza,حضرية,Alexandria Desert Road,65,15.4,25.9,لا,جاف
2022-02-26,12:54,Cairo,Heliopolis,حضرية,Suez Road,64,17.7,16.1,نعم,جاف
2022-08-30,10:08,Cairo,Zeitoun,حضرية,6th October Bridge,26,16.3,20.7,لا,جاف
2024-10-03,23:20,Alexandria,Smouha,حضرية,Miami Beach Road,28,19.6,25.0,لا,جاف
2025-07-28,09:10,Giza,6th October City,حضرية,El Bahr El Aazam St.,71,26.6,21.4,نعم,جاف
2025-06-25,19:15,Cairo,Maadi,حضرية,6th October Bridge,65,28.4,18.0,نعم,جاف
2023-01-30,23:23,Cairo,Zamalek,حضرية,Ring Road,65,17.2,27.5,لا,جاف
2025-06-21,02:13,Alexandria,Stanley,حضرية,Desert Road,15,15.2,17.0,لا,جاف
2025-08-27,10:45,Aswan,Aswan First,سياحية,Kom Ombo Main St.,40,16.2,38.0,لا,جاف
2024-02-10,14:01,Qalyubia,Banha,حضرية,Qalyub Main St.,32,15.5,27.9,لا,مبلل
2023-04-28,12:17,Cairo,Nasr City,حضرية,Al Fangari Bridge,73,18.5,22.5,نعم,جاف
2023-04-11,07:34,Alexandria,Montazah,حضرية,El-Montazah Bridge,57,31.32,21.1,نعم,مبلل
2025-06-28,02:27,Alexandria,Sidi Gaber,حضرية,El-Montazah Bridge,21,15.1,22.5,لا,تحت الصيانة
2022-01-21,12:05,Cairo,Shubra,حضرية,Nasr Road,56,15.8,28.9,نعم,تحت الصيانة
2024-11-21,20:47,Giza,6th October City,حضرية,Faisal Road,33,16.4,28.7,لا,جاف
2025-01-22,15:50,Cairo,Downtown,حضرية,Salah Salem St.,52,33.7,27.4,نعم,جاف
2025-02-21,12:11,Giza,Haram,حضرية,El-Lebbini St.,76,17.6,22.1,نعم,جاف
2022-01-13,18:58,Giza,Haram,حضرية,El Mansoureya Road,75,34.6,17.7,نعم,جاف
2022-01-19,11:12,Giza,6th October City,حضرية,El Mansoureya Road,79,18.7,29.9,لا,مبلل
2025-01-16,12:59,Cairo,Nasr City,حضرية,15th of May Bridge,18,19.4,29.2,نعم,مبلل
2022-02-24,17:32,Cairo,Downtown,حضرية,Corniche El Nil,62,30.8,29.9,نعم,جاف
2025-01-12,12:17,Alexandria,Miami,حضرية,Miami Beach Road,17,18.4,24.9,نعم,جاف
2022-01-27,23:10,Cairo,Nasr City,حضرية,Corniche El Nil,24,17.6,16.4,لا,جاف
2024-08-04,09:07,Giza,Faisal,حضرية,Faisal Road,16,22.5,26.7,نعم,جاف
2023-02-09,19:56,Giza,Imbaba,حضرية,Giza Square,69,31.7,23.6,نعم,جاف
2023-06-30,18:11,Cairo,Maadi,حضرية,Ring Road,62,38.7,18.8,نعم,جاف
2025-03-26,15:31,Cairo,Maadi,حضرية,Ramses St.,72,46.68,16.1,نعم,جاف
2022-10-30,17:58,Qalyubia,Toukh,ريفية,Agricultural Road,7,15.7,34.3,نعم,مبلل
2023-07-11,17:56,Giza,Dokki,حضرية,El Mansoureya Road,45,39.1,21.6,نعم,جاف
2024-03-16,16:10,Giza,Imbaba,حضرية,Alexandria Desert Road,80,39.35999999999999,27.5,نعم,تحت الصيانة
2024-12-04,07:17,Alexandria,Roushdy,حضرية,Sidi Gaber Road,52,25.4,20.4,نعم,جاف
2024-03-17,20:06,Cairo,Nasr City,حضرية,Al Mehwar Al Markazy,70,19.32,29.6,لا,جاف
2022-07-10,15:33,Aswan,Nasr Nubia,ريفية,Kom Ombo Main St.,26,20.3,28.2,نعم,جاف
2024-05-12,18:24,Cairo,Zamalek,حضرية,Autostrad Road,22,38.9,22.5,نعم,جاف
2025-06-16,07:52,Giza,Agouza,حضرية,Saqqara Road,43,27.3,20.1,نعم,جاف
2025-09-07,19:03,Cairo,Zamalek,حضرية,Suez Road,72,40.0,28.0,نعم,جاف
2024-11-26,08:41,Giza,Haram,حضرية,El-Lebbini St.,56,25.0,23.6,نعم,مبلل
2023-07-20,09:55,Cairo,Downtown,حضرية,Corniche El Nil,44,23.6,29.9,نعم,جاف
2025-02-07,12:43,Giza,6th October City,حضرية,Pyramids Road,60,19.1,17.3,نعم,جاف
2024-09-20,17:49,Cairo,Downtown,حضرية,Al Azhar St.,62,35.0,24.9,نعم,جاف
2022-05-17,01:38,Cairo,Shubra,حضرية,Salah Salem St.,76,18.5,28.7,لا,جاف
2023-07-22,16:14,Cairo,Shubra,حضرية,Al Azhar St.,71,39.2,20.5,نعم,مبلل
2022-12-21,05:04,Cairo,Heliopolis,حضرية,Corniche El Nil,77,16.0,29.8,لا,مبلل
2022-11-13,18:45,Alexandria,Montazah,حضرية,El-Horreya Ave,34,39.1,17.9,نعم,مبلل
2022-05-25,21:13,Alexandria,Glim,حضرية,Abu Qir Road,37,19.9,19.4,لا,جاف
2023-10-16,16:15,Giza,Sheikh Zayed City,حضرية,Saqqara Road,53,38.5,29.8,نعم,جاف
2022-10-27,22:15,Cairo,Maadi,حضرية,15th of May Bridge,65,17.4,23.7,لا,جاف
2022-07-25,07:51,Cairo,Shubra,حضرية,Corniche El Nil,45,27.0,23.5,نعم,جاف
2025-03-31,16:04,Alexandria,Glim,حضرية,Gamal Abdel Nasser St.,74,47.4,27.2,نعم,جاف
2024-05-01,00:26,Giza,Imbaba,حضرية,26th of July Corridor,78,15.1,29.7,لا,مبلل
2022-09-23,03:45,Cairo,Nasr City,حضرية,Al Fangari Bridge,64,19.8,21.3,لا,جاف
2023-04-21,15:13,Qalyubia,Khanka,ريفية,Cairo-Ismailia Road,37,22.92,30.3,نعم,مبلل
2024-12-03,07:21,Alexandria,Stanley,حضرية,Abu Qir Road,29,27.2,22.6,نعم,مبلل
2023-01-11,12:22,Cairo,Maadi,حضرية,15th of May Bridge,60,15.6,24.3,نعم,جاف
2023-03-01,03:31,Qalyubia,Banha,حضرية,Obour Access Road,67,19.7,21.7,لا,جاف
2023-04-01,07:48,Alexandria,San Stefano,حضرية,Abu Qir Road,57,30.24,15.1,نعم,جاف
2025-05-22,07:04,Cairo,Downtown,حضرية,Ring Road,50,23.1,19.7,نعم,جاف
2024-04-02,15:29,Giza,Agouza,حضرية,El Mansoureya Road,73,34.32,22.1,نعم,جاف
2024-09-12,17:05,Cairo,Gesr El Suez,صناعية,Nasr Road,29,23.0,33.4,نعم,جاف
2025-05-25,02:09,Cairo,Gesr El Suez,صناعية,Autostrad Road,31,12.9,31.7,لا,جاف
2022-01-23,12:39,Alexandria,San Stefano,حضرية,Kafr Abdou St.,22,15.2,27.5,نعم,جاف
2024-01-01,12:34,Cairo,Nasr City,حضرية,Corniche El Nil,57,17.5,21.5,نعم,جاف
2024-08-18,18:18,Cairo,Zeitoun,حضرية,6th October Bridge,58,30.6,28.0,نعم,جاف
2022-09-28,13:01,Alexandria,Glim,حضرية,Gamal Abdel Nasser St.,27,19.3,25.1,لا,جاف
2024-08-28,22:00,Cairo,Maadi,حضرية,Ring Road,79,17.6,17.7,لا,تحت الصيانة
2022-07-20,15:14,Giza,Haram,حضرية,26th of July Corridor,17,37.3,28.3,نعم,جاف
2022-06-19,16:48,Alexandria,Miami,حضرية,Kafr Abdou St.,54,30.5,16.0,نعم,جاف
2022-12-29,05:43,Cairo,Downtown,حضرية,Autostrad Road,45,18.0,28.5,لا,جاف
2023-08-17,09:26,Giza,Imbaba,حضرية,Pyramids Road,37,28.5,19.7,نعم,تحت الصيانة
2024-07-13,08:06,Cairo,Nasr City,حضرية,Al Azhar St.,41,26.3,20.7,نعم,جاف
2022-02-09,19:49,Cairo,Heliopolis,حضرية,Corniche El Nil,21,36.4,27.5,نعم,جاف
2024-06-21,16:57,Cairo,Heliopolis,حضرية,Nasr Road,56,37.5,23.5,نعم,جاف
2025-08-05,16:26,Cairo,Gesr El Suez,صناعية,Suez Road,18,23.9,33.5,نعم,جاف
2024-01-27,16:43,Alexandria,Smouha,حضرية,Stanley Bridge,52,37.2,15.4,نعم,جاف
2022-09-29,15:56,Cairo,Downtown,حضرية,Al Fangari Bridge,19,32.5,22.5,نعم,مبلل
2024-02-23,09:11,Cairo,Gesr El Suez,صناعية,Salah Salem St.,50,24.0,23.9,نعم,مبلل
2025-04-03,09:38,Alexandria,Glim,حضرية,Miami Beach Road,49,23.4,25.6,نعم,مبلل
2023-03-15,17:09,Cairo,Heliopolis,حضرية,Al Azhar St.,15,30.5,29.7,نعم,جاف
2022-06-07,15:36,Alexandria,Montazah,حضرية,Miami Beach Road,25,31.2,29.9,نعم,جاف
2023-11-05,18:39,Giza,Sheikh Zayed City,حضرية,Ring Road (Giza Section),49,38.5,16.4,نعم,مبلل
2025-03-08,09:55,Cairo,Downtown,حضرية,Ring Road,59,27.0,19.0,نعم,مبلل
2024-12-23,01:41,Cairo,Nasr City,حضرية,6th October Bridge,69,16.3,15.1,لا,جاف
2025-02-23,19:15,Alexandria,Montazah,حضرية,Sidi Gaber Road,51,29.6,24.6,نعم,جاف
2025-08-15,12:27,Alexandria,Sidi Gaber,حضرية,El-Horreya Ave,68,18.1,22.1,نعم,مبلل
2024-06-02,21:22,Cairo,Gesr El Suez,صناعية,6th October Bridge,39,17.1,29.5,لا,جاف
