نوع الحادث,زمن الحادث,تاريخ الحادث,محافظة الحادث,مدينة الحادث,زمن الانقاذ و حل المشكله
تصادم سيارات,19:17,2022-04-12,Giza,Agouza,13 دقيقة
حريق في السيارة,17:49,2023-01-05,Giza,Agouza,76 دقيقة
دهس مشاة,16:39,2024-03-26,Port Said,Sharq,178 دقيقة
غرق مركبة,07:50,2024-01-15,Alexandria,Miami,229 دقيقة
سقوط من ارتفاع,09:29,2023-12-22,Port Said,Sharq,19 دقيقة
دهس مشاة,16:00,2024-06-20,Aswan,Kom Ombo,114 دقيقة
ازدحام مروري,13:58,2023-02-26,Alexandria,Miami,168 دقيقة
حادث دراجة نارية,02:18,2022-10-24,Giza,Haram,57 دقيقة
غرق مركبة,09:42,2023-04-24,Dakahlia,Dikirnis,182 دقيقة
انقلاب مركبة,09:10,2023-09-25,Giza,Dokki,13 دقيقة
سقوط من ارتفاع,21:11,2023-03-13,Minya,Maghaghah,27 دقيقة
انقلاب مركبة,17:07,2023-12-01,Sohag,Sohag First,157 دقيقة
ازدحام مروري,09:11,2023-12-30,Aswan,Kom Ombo,14 دقيقة
غرق مركبة,16:45,2022-06-04,Minya,Deir Mawas,89 دقيقة
دهس مشاة,19:46,2022-05-19,Aswan,Aswan First,69 دقيقة
حريق في السيارة,18:47,2023-04-19,Alexandria,Smouha,141 دقيقة
تصادم سيارات,10:48,2023-09-05,Qalyubia,Khanka,179 دقيقة
ازدحام مروري,10:55,2022-01-30,Ismailia,Sheikh Zayed,54 دقيقة
حادث دراجة نارية,07:21,2022-06-30,Port Said,Dawahi,102 دقيقة
حريق في السيارة,19:56,2023-04-11,Assiut,Dayrout,155 دقيقة
حريق في السيارة,18:41,2022-02-24,Minya,Deir Mawas,117 دقيقة
تصادم مع حيوان,15:27,2024-09-23,Minya,Beni Mazar,228 دقيقة
انقلاب مركبة,12:34,2024-08-18,Giza,Haram,77 دقيقة
تصادم مع حيوان,04:42,2023-11-10,Qalyubia,Banha,136 دقيقة
انقلاب مركبة,07:42,2024-03-25,Alexandria,Montazah,29 دقيقة
انقلاب مركبة,21:22,2024-02-13,Aswan,Nasr Nubia,166 دقيقة
انقلاب مركبة,22:20,2023-01-16,Sharqia,Bilbeis,192 دقيقة
دهس مشاة,19:20,2023-11-20,Assiut,Manfalout,134 دقيقة
دهس مشاة,09:01,2022-05-31,Dakahlia,Bilqas,105 دقيقة
تصادم سيارات,07:36,2023-09-06,Beheira,Abu Hummus,45 دقيقة
انقلاب مركبة,19:50,2023-07-23,Giza,Agouza,75 دقيقة
انقلاب مركبة,16:42,2024-05-07,Sohag,Girga,222 دقيقة
تصادم سيارات,09:39,2022-02-09,Monufia,Shebin El Kom,178 دقيقة
ازدحام مروري,14:16,2024-08-28,Sohag,Girga,72 دقيقة
دهس مشاة,00:20,2024-11-20,Assiut,Qusiya,40 دقيقة
تصادم مع حيوان,16:46,2024-05-18,Qalyubia,Toukh,148 دقيقة
انقلاب مركبة,07:41,2024-11-14,Luxor,Qurna,82 دقيقة
غرق مركبة,10:51,2022-01-25,Assiut,Manfalout,126 دقيقة
دهس مشاة,09:11,2023-09-15,Assiut,Assiut First,97 دقيقة
غرق مركبة,01:35,2023-07-23,Giza,Faisal,164 دقيقة
عطل فني,09:19,2022-05-14,Beheira,Abu Hummus,125 دقيقة
عطل فني,07:19,2022-07-25,Dakahlia,Talkha,180 دقيقة
انقلاب مركبة,09:32,2022-10-16,Luxor,Luxor First,137 دقيقة
دهس مشاة,16:11,2022-07-11,Alexandria,Roushdy,58 دقيقة
تصادم سيارات,16:49,2023-08-04,Port Said,Arab,131 دقيقة
عطل فني,19:14,2023-03-05,Luxor,Luxor First,33 دقيقة
انقلاب مركبة,07:10,2023-02-21,Beheira,Edku,156 دقيقة
سقوط من ارتفاع,22:45,2023-08-15,Minya,Mallawi,91 دقيقة
ازدحام مروري,07:54,2022-06-18,Port Said,Dawahi,74 دقيقة
دهس مشاة,19:28,2022-10-29,Assiut,Assiut First,52 دقيقة
تصادم مع حيوان,07:59,2023-08-12,Minya,Deir Mawas,153 دقيقة
دهس مشاة,18:38,2023-03-17,Beheira,Abu Hummus,132 دقيقة
غرق مركبة,16:02,2023-06-08,Alexandria,Smouha,86 دقيقة
حادث دراجة نارية,17:22,2024-02-24,Sharqia,Minya Al Qamh,239 دقيقة
تصادم مع حيوان,17:27,2024-08-05,Luxor,Luxor First,184 دقيقة
سقوط من ارتفاع,19:44,2024-05-05,Beheira,Damanhour,20 دقيقة
انقلاب مركبة,09:44,2023-09-23,Dakahlia,Dikirnis,40 دقيقة
حريق في السيارة,08:42,2022-02-27,Alexandria,Sidi Gaber,72 دقيقة
انقلاب مركبة,07:38,2022-04-13,Qalyubia,Banha,117 دقيقة
عطل فني,11:43,2023-01-22,Port Said,Sharq,54 دقيقة
حريق في السيارة,14:05,2024-08-07,Sohag,Tahta,38 دقيقة
سقوط من ارتفاع,19:40,2022-06-04,Alexandria,Glim,128 دقيقة
عطل فني,16:33,2024-08-24,Sharqia,Zagazig,31 دقيقة
انقلاب مركبة,19:40,2022-12-08,Monufia,Menouf,167 دقيقة
ازدحام مروري,03:14,2023-08-11,Sharqia,Faqus,224 دقيقة
سقوط من ارتفاع,19:51,2023-09-23,Sharqia,Minya Al Qamh,14 دقيقة
انقلاب مركبة,19:16,2024-06-23,Monufia,Bagour,152 دقيقة
غرق مركبة,16:51,2022-07-28,Qalyubia,Shibin El Qanater,54 دقيقة
غرق مركبة,09:17,2024-11-23,Port Said,Dawahi,166 دقيقة
حادث دراجة نارية,18:35,2024-12-23,Giza,Agouza,100 دقيقة
ازدحام مروري,18:01,2023-10-25,Aswan,Nasr Nubia,80 دقيقة
انقلاب مركبة,17:32,2022-03-21,Giza,Agouza,33 دقيقة
تصادم مع حيوان,08:24,2024-11-08,Assiut,Assiut First,178 دقيقة
حريق في السيارة,18:22,2024-11-17,Sohag,Maragha,116 دقيقة
سقوط من ارتفاع,12:02,2024-10-01,Luxor,Qurna,204 دقيقة
ازدحام مروري,07:57,2023-10-16,Alexandria,Smouha,24 دقيقة
تصادم مع حيوان,18:55,2023-07-08,Luxor,Luxor First,131 دقيقة
سقوط من ارتفاع,07:30,2024-05-02,Beheira,Abu Hummus,239 دقيقة
ازدحام مروري,09:58,2022-01-03,Minya,Beni Mazar,26 دقيقة
ازدحام مروري,08:39,2022-05-11,Cairo,Maadi,146 دقيقة
تصادم سيارات,18:13,2022-08-03,Monufia,Bagour,63 دقيقة
غرق مركبة,08:20,2024-05-14,Assiut,Manfalout,34 دقيقة
سقوط من ارتفاع,18:15,2023-11-13,Sharqia,Kafr Saqr,121 دقيقة
دهس مشاة,07:05,2022-03-30,Sohag,Akhmim,220 دقيقة
غرق مركبة,09:07,2023-09-11,Ismailia,First District,34 دقيقة
حريق في السيارة,10:54,2023-06-21,Alexandria,Sidi Gaber,72 دقيقة
دهس مشاة,08:10,2024-04-09,Cairo,Heliopolis,148 دقيقة
تصادم سيارات,09:15,2022-06-24,Luxor,Esna,124 دقيقة
ازدحام مروري,17:06,2022-01-30,Ismailia,First District,84 دقيقة
غرق مركبة,15:55,2022-07-23,Monufia,Bagour,146 دقيقة
ازدحام مروري,08:59,2024-09-09,Ismailia,Arbaeen,53 دقيقة
تصادم سيارات,22:46,2022-12-09,Giza,Imbaba,225 دقيقة
تصادم سيارات,12:32,2023-02-12,Ismailia,Arbaeen,21 دقيقة
دهس مشاة,09:28,2022-08-18,Aswan,Kom Ombo,171 دقيقة
دهس مشاة,17:41,2022-07-27,Cairo,Maadi,87 دقيقة
سقوط من ارتفاع,13:49,2022-01-29,Assiut,Dayrout,221 دقيقة
تصادم سيارات,17:45,2024-01-28,Giza,Imbaba,180 دقيقة
دهس مشاة,12:03,2024-07-29,Aswan,Nasr Nubia,154 دقيقة
غرق مركبة,07:48,2022-05-08,Giza,Imbaba,205 دقيقة
انقلاب مركبة,16:42,2022-06-16,Dakahlia,Dikirnis,197 دقيقة
دهس مشاة,16:38,2022-09-13,Qalyubia,Qalyub,195 دقيقة
دهس مشاة,04:12,2024-08-04,Alexandria,Montazah,223 دقيقة
ازدحام مروري,17:47,2023-02-26,Monufia,Shebin El Kom,223 دقيقة
غرق مركبة,23:55,2023-07-22,Assiut,Assiut First,181 دقيقة
تصادم سيارات,02:03,2023-04-18,Ismailia,Sheikh Zayed,110 دقيقة
غرق مركبة,18:26,2023-03-09,Assiut,Abnoub,214 دقيقة
حادث دراجة نارية,16:10,2023-07-02,Ismailia,Sheikh Zayed,211 دقيقة
دهس مشاة,08:45,2024-10-01,Monufia,Shebin El Kom,19 دقيقة
حريق في السيارة,23:43,2022-09-19,Qalyubia,Khanka,33 دقيقة
ازدحام مروري,16:53,2022-12-30,Minya,Beni Mazar,213 دقيقة
حريق في السيارة,07:57,2022-02-26,Aswan,Edfu,147 دقيقة
حادث دراجة نارية,08:59,2023-09-05,Assiut,Assiut First,217 دقيقة
تصادم سيارات,09:35,2022-01-15,Aswan,Kom Ombo,182 دقيقة
تصادم سيارات,04:46,2023-07-07,Minya,Deir Mawas,159 دقيقة
حريق في السيارة,13:42,2024-10-30,Aswan,Nasr Nubia,90 دقيقة
غرق مركبة,16:54,2024-06-25,Dakahlia,Bilqas,202 دقيقة
دهس مشاة,04:01,2022-08-26,Port Said,Arab,168 دقيقة
دهس مشاة,17:02,2022-12-04,Dakahlia,Mit Ghamr,35 دقيقة
غرق مركبة,09:14,2023-10-15,Sohag,Tahta,202 دقيقة
غرق مركبة,09:08,2023-05-12,Luxor,Qurna,149 دقيقة
دهس مشاة,10:52,2022-11-12,Dakahlia,Mansoura,41 دقيقة
تصادم مع حيوان,18:11,2022-10-23,Ismailia,Arbaeen,75 دقيقة
ازدحام مروري,14:46,2023-07-05,Ismailia,Qantara Sharq,16 دقيقة
غرق مركبة,18:04,2023-02-25,Giza,Agouza,224 دقيقة
تصادم مع حيوان,18:41,2024-08-17,Aswan,Kom Ombo,221 دقيقة
ازدحام مروري,09:40,2024-02-03,Sharqia,Bilbeis,147 دقيقة
دهس مشاة,07:23,2024-03-30,Dakahlia,Dikirnis,20 دقيقة
حادث دراجة نارية,09:52,2022-05-17,Alexandria,Roushdy,96 دقيقة
حادث دراجة نارية,01:04,2022-08-09,Ismailia,First District,124 دقيقة
انقلاب مركبة,17:44,2023-09-09,Cairo,Zeitoun,206 دقيقة
غرق مركبة,07:15,2022-01-08,Luxor,Luxor First,37 دقيقة
حادث دراجة نارية,18:38,2023-07-22,Luxor,Esna,240 دقيقة
غرق مركبة,13:43,2023-06-13,Assiut,Qusiya,191 دقيقة
سقوط من ارتفاع,11:41,2022-06-03,Sharqia,Zagazig,119 دقيقة
غرق مركبة,17:06,2024-07-30,Giza,Dokki,147 دقيقة
تصادم سيارات,07:45,2024-02-21,Dakahlia,Mansoura,202 دقيقة
حريق في السيارة,19:18,2022-06-10,Port Said,Arab,168 دقيقة
سقوط من ارتفاع,16:32,2024-02-05,Ismailia,First District,77 دقيقة
ازدحام مروري,15:47,2022-12-26,Alexandria,Miami,238 دقيقة
تصادم مع حيوان,08:27,2022-12-19,Luxor,Luxor First,121 دقيقة
سقوط من ارتفاع,08:25,2023-06-18,Sohag,Akhmim,31 دقيقة
ازدحام مروري,06:27,2024-11-03,Assiut,Manfalout,221 دقيقة
عطل فني,18:23,2024-07-26,Minya,Samalut,240 دقيقة
ازدحام مروري,16:41,2022-03-23,Port Said,Manakh,202 دقيقة
دهس مشاة,09:50,2023-01-23,Beheira,Abu Hummus,93 دقيقة
تصادم سيارات,17:36,2022-03-08,Aswan,Edfu,159 دقيقة
تصادم سيارات,09:23,2023-12-12,Ismailia,Qantara Sharq,215 دقيقة
ازدحام مروري,08:39,2022-10-19,Monufia,Bagour,59 دقيقة
غرق مركبة,01:01,2024-07-05,Beheira,Edku,78 دقيقة
سقوط من ارتفاع,07:59,2023-02-21,Minya,Mallawi,226 دقيقة
تصادم سيارات,08:49,2023-08-01,Cairo,Gesr El Suez,17 دقيقة
حريق في السيارة,07:24,2022-02-22,Assiut,Abnoub,24 دقيقة
حادث دراجة نارية,11:08,2024-09-19,Qalyubia,Qalyub,167 دقيقة
تصادم سيارات,00:07,2023-08-18,Assiut,Qusiya,129 دقيقة
ازدحام مروري,18:01,2022-06-05,Dakahlia,Mit Ghamr,207 دقيقة
دهس مشاة,17:04,2024-12-19,Beheira,Abu Hummus,105 دقيقة
ازدحام مروري,07:58,2022-03-19,Luxor,Esna,205 دقيقة
تصادم مع حيوان,09:28,2023-07-16,Cairo,Nasr City,196 دقيقة
غرق مركبة,07:14,2024-04-07,Dakahlia,Mit Ghamr,230 دقيقة
حريق في السيارة,18:57,2022-10-10,Sohag,Tahta,44 دقيقة
حادث دراجة نارية,03:05,2022-01-03,Assiut,Qusiya,225 دقيقة
تصادم سيارات,18:03,2024-08-23,Alexandria,Sidi Gaber,191 دقيقة
غرق مركبة,16:26,2023-10-22,Assiut,Assiut First,187 دقيقة
غرق مركبة,18:38,2024-12-06,Port Said,Arab,231 دقيقة
حريق في السيارة,09:27,2024-08-17,Giza,Imbaba,193 دقيقة
حريق في السيارة,09:14,2022-08-05,Ismailia,Qantara Sharq,201 دقيقة
ازدحام مروري,07:00,2023-01-03,Ismailia,Qantara Sharq,189 دقيقة
غرق مركبة,17:58,2022-12-01,Luxor,Armant,114 دقيقة
انقلاب مركبة,16:47,2024-08-29,Assiut,Qusiya,93 دقيقة
ازدحام مروري,09:28,2023-08-07,Luxor,Esna,224 دقيقة
سقوط من ارتفاع,15:00,2024-11-18,Alexandria,Montazah,174 دقيقة
ازدحام مروري,18:33,2022-11-10,Qalyubia,Shibin El Qanater,167 دقيقة
تصادم مع حيوان,09:49,2022-03-02,Aswan,Kom Ombo,38 دقيقة
انقلاب مركبة,16:03,2023-09-30,Sharqia,Zagazig,202 دقيقة
تصادم سيارات,11:15,2022-12-14,Sohag,Tahta,50 دقيقة
غرق مركبة,16:58,2023-07-31,Minya,Maghaghah,207 دقيقة
حريق في السيارة,15:42,2024-07-02,Giza,Faisal,71 دقيقة
تصادم مع حيوان,13:24,2022-08-25,Aswan,Nasr Nubia,86 دقيقة
دهس مشاة,01:44,2022-08-14,Minya,Maghaghah,107 دقيقة
تصادم مع حيوان,18:02,2022-04-25,Cairo,Maadi,40 دقيقة
انقلاب مركبة,18:33,2023-01-03,Port Said,Dawahi,129 دقيقة
حادث دراجة نارية,06:37,2024-07-25,Monufia,Bagour,22 دقيقة
حريق في السيارة,03:29,2023-11-02,Sohag,Maragha,229 دقيقة
سقوط من ارتفاع,09:30,2022-05-14,Giza,Haram,226 دقيقة
انقلاب مركبة,07:48,2023-02-26,Monufia,Berket El Sabaa,112 دقيقة
دهس مشاة,19:18,2024-08-09,Cairo,Nasr City,10 دقيقة
عطل فني,14:49,2022-01-11,Minya,Mallawi,97 دقيقة
دهس مشاة,19:25,2024-01-08,Sharqia,Zagazig,190 دقيقة
سقوط من ارتفاع,18:15,2022-02-21,Cairo,Gesr El Suez,109 دقيقة
سقوط من ارتفاع,12:28,2023-04-08,Monufia,Bagour,86 دقيقة
تصادم سيارات,09:01,2024-03-22,Ismailia,Arbaeen,81 دقيقة
غرق مركبة,15:39,2022-02-10,Sohag,Maragha,154 دقيقة
دهس مشاة,03:57,2023-08-15,Dakahlia,Bilqas,61 دقيقة
تصادم مع حيوان,01:27,2022-05-16,Assiut,Manfalout,218 دقيقة
انقلاب مركبة,16:08,2022-05-21,Assiut,Assiut First,14 دقيقة
حريق في السيارة,07:44,2022-04-10,Beheira,Abu Hummus,135 دقيقة
انقلاب مركبة,18:51,2023-07-18,Giza,Imbaba,128 دقيقة
حريق في السيارة,15:48,2024-05-01,Assiut,Abnoub,215 دقيقة
ازدحام مروري,12:44,2023-03-06,Alexandria,Miami,11 دقيقة
ازدحام مروري,12:12,2024-10-15,Monufia,Quesna,229 دقيقة
تصادم سيارات,22:18,2024-09-07,Alexandria,Smouha,190 دقيقة
تصادم مع حيوان,20:24,2024-01-25,Dakahlia,Bilqas,198 دقيقة
حادث دراجة نارية,13:05,2023-10-01,Monufia,Shebin El Kom,78 دقيقة
عطل فني,16:00,2022-12-13,Alexandria,Roushdy,10 دقيقة
حادث دراجة نارية,16:20,2024-02-16,Cairo,Maadi,204 دقيقة
عطل فني,17:13,2023-11-11,Giza,Haram,149 دقيقة
حريق في السيارة,14:37,2022-08-08,Aswan,Kom Ombo,67 دقيقة
انقلاب مركبة,19:55,2022-04-01,Cairo,Maadi,95 دقيقة
انقلاب مركبة,17:59,2023-02-03,Monufia,Menouf,97 دقيقة
عطل فني,19:15,2024-09-19,Cairo,Maadi,151 دقيقة
حادث دراجة نارية,02:25,2023-11-03,Minya,Mallawi,13 دقيقة
حادث دراجة نارية,07:16,2024-05-14,Port Said,Dawahi,131 دقيقة
سقوط من ارتفاع,16:43,2022-06-09,Port Said,Dawahi,17 دقيقة
انقلاب مركبة,03:02,2022-05-07,Monufia,Shebin El Kom,123 دقيقة
تصادم سيارات,07:06,2022-09-23,Luxor,Luxor First,137 دقيقة
ازدحام مروري,10:01,2024-03-23,Assiut,Assiut First,210 دقيقة
ازدحام مروري,11:49,2024-06-10,Port Said,Manakh,118 دقيقة
تصادم مع حيوان,18:03,2022-08-13,Luxor,Qurna,206 دقيقة
حريق في السيارة,09:31,2024-07-01,Giza,Dokki,37 دقيقة
حادث دراجة نارية,17:19,2024-04-14,Cairo,Zeitoun,91 دقيقة
دهس مشاة,09:18,2022-10-24,Monufia,Shebin El Kom,57 دقيقة
دهس مشاة,08:56,2022-04-18,Minya,Samalut,225 دقيقة
تصادم مع حيوان,17:44,2022-07-26,Sharqia,Minya Al Qamh,110 دقيقة
عطل فني,18:04,2022-11-01,Sohag,Akhmim,208 دقيقة
تصادم مع حيوان,18:16,2023-04-15,Port Said,Sharq,77 دقيقة
عطل فني,18:31,2024-05-19,Minya,Beni Mazar,192 دقيقة
سقوط من ارتفاع,08:13,2023-04-17,Sohag,Sohag First,104 دقيقة
ازدحام مروري,09:08,2023-04-18,Qalyubia,Banha,177 دقيقة
عطل فني,19:49,2023-03-03,Sohag,Maragha,11 دقيقة
حريق في السيارة,17:32,2024-11-20,Alexandria,Sidi Gaber,123 دقيقة
غرق مركبة,17:30,2022-11-18,Alexandria,Montazah,211 دقيقة
تصادم مع حيوان,18:43,2024-05-01,Qalyubia,Shibin El Qanater,210 دقيقة
عطل فني,00:33,2024-02-21,Assiut,Assiut First,171 دقيقة
ازدحام مروري,06:05,2024-12-16,Qalyubia,Banha,238 دقيقة
غرق مركبة,22:22,2023-10-14,Minya,Deir Mawas,17 دقيقة
تصادم مع حيوان,09:46,2022-08-06,Ismailia,Sheikh Zayed,53 دقيقة
تصادم سيارات,09:43,2024-12-23,Beheira,Edku,101 دقيقة
عطل فني,07:40,2024-10-12,Giza,Haram,187 دقيقة
تصادم سيارات,16:09,2023-10-21,Luxor,Armant,125 دقيقة
ازدحام مروري,23:36,2022-09-30,Qalyubia,Qalyub,212 دقيقة
تصادم سيارات,08:14,2022-05-05,Luxor,Esna,77 دقيقة
حادث دراجة نارية,08:22,2022-03-09,Aswan,Nasr Nubia,188 دقيقة
سقوط من ارتفاع,07:43,2024-07-09,Assiut,Manfalout,166 دقيقة
غرق مركبة,03:27,2024-02-25,Port Said,Dawahi,168 دقيقة
حادث دراجة نارية,16:11,2022-02-20,Dakahlia,Talkha,146 دقيقة
تصادم مع حيوان,19:49,2024-08-08,Luxor,Esna,202 دقيقة
انقلاب مركبة,14:05,2023-01-17,Monufia,Bagour,235 دقيقة
حادث دراجة نارية,08:17,2022-07-24,Dakahlia,Mit Ghamr,209 دقيقة
غرق مركبة,08:49,2022-01-06,Alexandria,Glim,229 دقيقة
حريق في السيارة,18:31,2024-01-20,Monufia,Quesna,77 دقيقة
ازدحام مروري,09:49,2024-06-01,Dakahlia,Dikirnis,31 دقيقة
حادث دراجة نارية,19:03,2023-10-07,Alexandria,Montazah,160 دقيقة
سقوط من ارتفاع,10:37,2024-01-14,Port Said,Sharq,131 دقيقة
ازدحام مروري,20:24,2022-07-03,Qalyubia,Shibin El Qanater,171 دقيقة
دهس مشاة,17:21,2023-01-05,Sharqia,Abu Kabir,146 دقيقة
عطل فني,07:27,2023-01-20,Alexandria,Roushdy,126 دقيقة
حريق في السيارة,19:00,2022-03-02,Qalyubia,Khanka,27 دقيقة
سقوط من ارتفاع,23:50,2024-06-28,Dakahlia,Talkha,69 دقيقة
انقلاب مركبة,08:11,2024-11-09,Cairo,Maadi,204 دقيقة
تصادم سيارات,07:32,2022-08-31,Sharqia,Abu Kabir,103 دقيقة
عطل فني,08:12,2022-04-22,Sohag,Sohag First,211 دقيقة
عطل فني,18:50,2022-11-16,Alexandria,Miami,48 دقيقة
عطل فني,08:43,2022-06-01,Monufia,Menouf,203 دقيقة
تصادم سيارات,19:55,2023-08-19,Luxor,Luxor First,38 دقيقة
سقوط من ارتفاع,09:01,2023-03-08,Minya,Samalut,142 دقيقة
دهس مشاة,14:25,2023-09-02,Monufia,Menouf,92 دقيقة
ازدحام مروري,09:24,2023-02-21,Aswan,Nasr Nubia,34 دقيقة
غرق مركبة,07:28,2022-11-17,Dakahlia,Talkha,181 دقيقة
تصادم سيارات,17:00,2023-07-18,Dakahlia,Talkha,236 دقيقة
دهس مشاة,21:57,2024-09-19,Assiut,Abnoub,44 دقيقة
انقلاب مركبة,18:40,2023-04-10,Monufia,Menouf,96 دقيقة
غرق مركبة,06:51,2022-06-04,Monufia,Quesna,215 دقيقة
حريق في السيارة,07:50,2023-10-03,Alexandria,Miami,175 دقيقة
عطل فني,00:07,2023-05-28,Alexandria,Sidi Gaber,108 دقيقة
حريق في السيارة,12:39,2024-02-27,Assiut,Dayrout,83 دقيقة
سقوط من ارتفاع,10:06,2022-10-25,Qalyubia,Qalyub,217 دقيقة
عطل فني,13:08,2022-04-10,Cairo,Nasr City,27 دقيقة
حريق في السيارة,09:32,2023-06-24,Port Said,Manakh,63 دقيقة
حريق في السيارة,18:23,2023-01-13,Aswan,Kom Ombo,154 دقيقة
انقلاب مركبة,10:58,2022-01-20,Sharqia,Kafr Saqr,188 دقيقة
انقلاب مركبة,19:59,2023-09-07,Alexandria,Glim,12 دقيقة
غرق مركبة,14:10,2022-08-20,Assiut,Qusiya,81 دقيقة
انقلاب مركبة,17:34,2022-04-14,Alexandria,Sidi Gaber,71 دقيقة
حادث دراجة نارية,19:01,2024-04-09,Cairo,Heliopolis,226 دقيقة
حريق في السيارة,09:34,2022-11-18,Giza,Dokki,197 دقيقة
غرق مركبة,19:13,2022-07-30,Ismailia,Qantara Sharq,182 دقيقة
حادث دراجة نارية,09:17,2022-09-12,Luxor,Armant,128 دقيقة
عطل فني,04:00,2023-09-05,Port Said,Dawahi,93 دقيقة
انقلاب مركبة,19:03,2023-07-28,Ismailia,Qantara Sharq,231 دقيقة
حادث دراجة نارية,10:20,2024-12-06,Ismailia,Qantara Sharq,237 دقيقة
غرق مركبة,17:11,2022-06-28,Luxor,Qurna,12 دقيقة
ازدحام مروري,16:47,2023-09-25,Sharqia,Faqus,185 دقيقة
حادث دراجة نارية,17:28,2022-01-15,Port Said,Sharq,143 دقيقة
انقلاب مركبة,07:01,2022-06-28,Sharqia,Faqus,65 دقيقة
دهس مشاة,19:30,2024-01-06,Minya,Maghaghah,138 دقيقة
ازدحام مروري,06:31,2023-03-23,Sohag,Maragha,92 دقيقة
انقلاب مركبة,15:16,2024-06-29,Dakahlia,Mansoura,231 دقيقة
غرق مركبة,17:30,2022-08-25,Sohag,Akhmim,156 دقيقة
ازدحام مروري,00:21,2023-07-05,Dakahlia,Bilqas,89 دقيقة
تصادم سيارات,18:50,2022-07-27,Assiut,Assiut First,126 دقيقة
حادث دراجة نارية,19:10,2023-09-26,Dakahlia,Bilqas,48 دقيقة
حريق في السيارة,22:44,2023-04-12,Ismailia,Sheikh Zayed,220 دقيقة
حادث دراجة نارية,03:11,2024-06-19,Assiut,Qusiya,107 دقيقة
تصادم مع حيوان,16:28,2024-01-23,Ismailia,Sheikh Zayed,131 دقيقة
تصادم مع حيوان,18:41,2024-09-13,Monufia,Menouf,48 دقيقة
تصادم مع حيوان,16:43,2023-11-27,Qalyubia,Khanka,205 دقيقة
سقوط من ارتفاع,17:53,2024-12-19,Alexandria,Sidi Gaber,165 دقيقة
انقلاب مركبة,17:37,2023-10-17,Assiut,Dayrout,53 دقيقة
سقوط من ارتفاع,09:16,2024-07-24,Qalyubia,Qalyub,22 دقيقة
انقلاب مركبة,07:06,2023-03-08,Port Said,Sharq,234 دقيقة
حادث دراجة نارية,08:10,2023-11-24,Cairo,Gesr El Suez,158 دقيقة
حريق في السيارة,08:53,2023-02-11,Sharqia,Bilbeis,61 دقيقة
حادث دراجة نارية,02:16,2023-02-18,Giza,Agouza,187 دقيقة
دهس مشاة,07:54,2024-03-31,Aswan,Edfu,151 دقيقة
دهس مشاة,18:27,2024-03-16,Monufia,Menouf,172 دقيقة
تصادم مع حيوان,10:05,2022-11-19,Monufia,Quesna,82 دقيقة
حادث دراجة نارية,18:58,2022-07-31,Ismailia,Arbaeen,92 دقيقة
حادث دراجة نارية,19:01,2022-01-14,Beheira,Kafr El Dawar,62 دقيقة
دهس مشاة,09:52,2022-07-16,Qalyubia,Khanka,13 دقيقة
دهس مشاة,19:25,2023-03-31,Sohag,Girga,43 دقيقة
عطل فني,18:31,2024-11-23,Luxor,Esna,179 دقيقة
تصادم سيارات,18:53,2024-03-23,Ismailia,Qantara Sharq,30 دقيقة
تصادم مع حيوان,19:47,2024-05-22,Beheira,Kafr El Dawar,93 دقيقة
انقلاب مركبة,19:45,2023-05-29,Aswan,Kom Ombo,220 دقيقة
حادث دراجة نارية,08:05,2023-07-03,Dakahlia,Talkha,191 دقيقة
انقلاب مركبة,17:19,2022-10-26,Cairo,Gesr El Suez,147 دقيقة
غرق مركبة,17:26,2024-06-01,Ismailia,First District,184 دقيقة
غرق مركبة,08:48,2022-03-04,Qalyubia,Banha,30 دقيقة
سقوط من ارتفاع,02:59,2022-05-04,Sharqia,Minya Al Qamh,18 دقيقة
حادث دراجة نارية,20:32,2023-07-19,Sharqia,Kafr Saqr,117 دقيقة
دهس مشاة,19:13,2022-05-18,Alexandria,Glim,95 دقيقة
سقوط من ارتفاع,18:28,2023-12-23,Alexandria,Smouha,73 دقيقة
سقوط من ارتفاع,18:36,2022-07-24,Giza,Faisal,106 دقيقة
حادث دراجة نارية,21:40,2022-07-01,Alexandria,Glim,124 دقيقة
انقلاب مركبة,19:46,2024-09-06,Dakahlia,Bilqas,148 دقيقة
غرق مركبة,22:36,2024-04-05,Beheira,Kafr El Dawar,170 دقيقة
دهس مشاة,17:28,2024-04-30,Giza,Dokki,229 دقيقة
تصادم سيارات,18:14,2023-10-12,Giza,Agouza,192 دقيقة
سقوط من ارتفاع,09:37,2022-07-23,Cairo,Heliopolis,11 دقيقة
ازدحام مروري,18:44,2022-12-26,Ismailia,Arbaeen,42 دقيقة
عطل فني,17:41,2024-12-04,Assiut,Assiut First,82 دقيقة
غرق مركبة,18:10,2024-12-28,Qalyubia,Khanka,158 دقيقة
دهس مشاة,03:18,2023-08-14,Alexandria,Sidi Gaber,16 دقيقة
ازدحام مروري,18:15,2024-09-24,Luxor,Esna,231 دقيقة
عطل فني,19:14,2022-10-26,Ismailia,Qantara Sharq,185 دقيقة
حريق في السيارة,18:58,2023-01-11,Alexandria,Glim,31 دقيقة
تصادم سيارات,18:59,2023-01-20,Beheira,Rashid,71 دقيقة
تصادم سيارات,17:26,2024-08-13,Sharqia,Minya Al Qamh,209 دقيقة
عطل فني,17:18,2024-10-29,Aswan,Aswan First,169 دقيقة
